Date;PaL;PaL Sum
19.01.2022;-12819,25;-12819,25
20.01.2022;-20627,4;-33446,65
21.01.2022;23042,5;-10404,15
24.01.2022;-24837,5;-35241,65
25.01.2022;-48159,48;-83401,13
26.01.2022;73728,7;-9672,43
27.01.2022;23055,185;13382,755
28.01.2022;57450;70832,755
31.01.2022;7954,28;78787,035
01.02.2022;15859,221;94646,256
02.02.2022;3489,109;98135,365
03.02.2022;-134246,6662;-36111,30119
04.02.2022;8896,667;-27214,63419
07.02.2022;-46883,5475;-74098,18169
08.02.2022;30586,38;-43511,80169
09.02.2022;-20987,5;-64499,30169
10.02.2022;8875,739;-55623,56269
11.02.2022;-11646,35715;-67269,91984
14.02.2022;-10941,54741;-78211,46725
15.02.2022;102306,0575;24094,59025
16.02.2022;51444;75538,59025
17.02.2022;10512,5;86051,09025
21.02.2022;97023,10456;183074,1948
22.02.2022;-37658,76793;145415,4269
23.02.2022;-46980,0355;98435,39138
24.02.2022;119642,8768;218078,2682
25.02.2022;-73963,14591;144115,1223
28.02.2022;84012,128;228127,2503
01.03.2022;24737,5;252864,7503
02.03.2022;69716,18767;322580,938
03.03.2022;-33979,15;288601,788
04.03.2022;21071,6335;309673,4215
07.03.2022;-72228,9675;237444,454
08.03.2022;122540,474;359984,928
09.03.2022;21840;381824,928
10.03.2022;60620,427;442445,355
14.03.2022;30812,5;473257,855
15.03.2022;47550;520807,855
16.03.2022;-15094,556;505713,299
23.03.2022;9406,95;515120,249
24.03.2022;83027,578;598147,827
25.03.2022;-19768,772;578379,055
28.03.2022;-59766,05;518613,005
29.03.2022;115389,449;634002,454
30.03.2022;38311,236;672313,69
31.03.2022;389781,669;1062095,359
01.04.2022;44106,53;1106201,889
04.04.2022;93544,72;1199746,609
05.04.2022;76766,545;1276513,154
06.04.2022;228362,37;1504875,524
07.04.2022;49032,75;1553908,274
08.04.2022;-13850,085;1540058,189
11.04.2022;-245275,91;1294782,279
12.04.2022;-100304,225;1194478,054
13.04.2022;24065,97;1218544,024
14.04.2022;-162562,77;1055981,254
25.04.2022;5192,935;1061174,189
26.04.2022;63929,785;1125103,974
27.04.2022;98840,055;1223944,029
28.04.2022;100061,89;1324005,919
29.04.2022;26489,16;1350495,079
02.05.2022;70586,5;1421081,579
03.05.2022;26612,5;1447694,079
04.05.2022;242591,75;1690285,829
05.05.2022;97044,3;1787330,129
06.05.2022;-138056,584;1649273,545
16.05.2022;39322,44;1688595,985
31.05.2022;99865,03;1788461,015
01.06.2022;25834,412;1814295,427
02.06.2022;-73043,84;1741251,587
06.06.2022;28086,636;1769338,223
07.06.2022;4522,38;1773860,603
08.06.2022;-52925;1720935,603
09.06.2022;-78602,976;1642332,627
10.06.2022;113827,738;1756160,365
13.06.2022;41630,632;1797790,997
14.06.2022;-40204,9;1757586,097
15.06.2022;286467,564;2044053,661
16.06.2022;86614,468;2130668,129
17.06.2022;-106949,5;2023718,629
20.06.2022;-316324,324;1707394,305
21.06.2022;-63951,56;1643442,745
22.06.2022;141705,772;1785148,517
23.06.2022;150005,072;1935153,589
24.06.2022;76596,104;2011749,693
27.06.2022;128778,68;2140528,373
28.06.2022;110700,556;2251228,929
29.06.2022;-258566,618;1992662,311
30.06.2022;-60665,718;1931996,593
01.07.2022;40861,84;1972858,433
04.07.2022;28669,62;2001528,053
05.07.2022;174843,76;2176371,813
06.07.2022;-73525,14;2102846,673
07.07.2022;-14999,65;2087847,023
08.07.2022;127620,18;2215467,203
12.07.2022;7378,84;2222846,043
13.07.2022;23491,22;2246337,263
14.07.2022;-153297,57;2093039,693
15.07.2022;116605,59;2209645,283
18.07.2022;28462,7;2238107,983
20.07.2022;14723,84;2252831,823
21.07.2022;-63661,66;2189170,163
22.07.2022;120840,48;2310010,643
25.07.2022;-35790,8;2274219,843
26.07.2022;-7587,5;2266632,343
27.07.2022;102832,04;2369464,383
28.07.2022;202490,56;2571954,943
29.07.2022;-10631,68;2561323,263
01.08.2022;408,308;2561731,571
02.08.2022;42312,286;2604043,857
03.08.2022;-68982,492;2535061,365
04.08.2022;109727,104;2644788,469
05.08.2022;247351,002;2892139,471
08.08.2022;137,5;2892276,971
09.08.2022;-143275,554;2749001,417
10.08.2022;41145,668;2790147,085
11.08.2022;20310;2810457,085
12.08.2022;10797,996;2821255,081
30.08.2022;-29478,328;2791776,753
31.08.2022;34334,41;2826111,163
01.09.2022;-66673,204;2759437,959
02.09.2022;2263,5;2761701,459
05.09.2022;-35096,6;2726604,859
08.09.2022;-123195,996;2603408,863
09.09.2022;113909,042;2717317,905
13.09.2022;69003,148;2786321,053
14.09.2022;89600,47;2875921,523
15.09.2022;3070,354;2878991,877
16.09.2022;68712,02;2947703,897
20.09.2022;441,09;2948144,987
21.09.2022;244415,46;3192560,447
22.09.2022;140034,696;3332595,143
23.09.2022;135492,108;3468087,251
26.09.2022;131241,216;3599328,467
27.09.2022;102335,556;3701664,023
28.09.2022;181072,346;3882736,369
29.09.2022;66859,442;3949595,811
30.09.2022;-104561,086;3845034,725
03.10.2022;-7782,304;3837252,421
04.10.2022;36906,046;3874158,467
05.10.2022;80775,468;3954933,935
06.10.2022;-88137,558;3866796,377
07.10.2022;56959,848;3923756,225
10.10.2022;47195,802;3970952,027
11.10.2022;-53560,44;3917391,587
12.10.2022;-41843,292;3875548,295
